name|speaker|orth|translation|start|end
d8iXDDmmxRc--1|Signer01|however on 13 november 2013 the couple announced their decision to divorce|however on 13 november 2013 the couple announced their decision to divorce|-1|-1
d8iXDDmmxRc--3|Signer01|and was living with her parents|and was living with her parents|-1|-1
d8iXDDmmxRc--4|Signer01|people were shocked with the divorce and there were rumours that|people were shocked with the divorce and there were rumours that|-1|-1
d8iXDDmmxRc--13|Signer01|have a look at the video|have a look at the video|-1|-1
d8iXDDmmxRc--16|Signer01|she has done five films so far she is also a talented singer|she has done five films so far she is also a talented singer|-1|-1
-66D6LFizL4--2|Signer01|however she got covid and passed away what happened|however she got covid and passed away what happened|-1|-1
-66D6LFizL4--7|Signer01|they will be allowed to enter|they will be allowed to enter|-1|-1
-66D6LFizL4--16|Signer01|according to her son before she died|according to her son before she died|-1|-1
a1DR41r-l-I--1|Signer01|some of them has not seen it|some of them has not seen it|-1|-1
a1DR41r-l-I--2|Signer01|this story is not new it happened in 2017 let me tell you|this story is not new it happened in 2017 let me tell you|-1|-1
a1DR41r-l-I--8|Signer01|she was stunned|she was stunned|-1|-1
a1DR41r-l-I--11|Signer01|the old woman then shared her story|the old woman then shared her story|-1|-1
a1DR41r-l-I--14|Signer01|at the age of 60 she retired|at the age of 60 she retired|-1|-1
66wcZHOOFbI--3|Signer01|it was india best airline service|it was india best airline service|-1|-1
66wcZHOOFbI--10|Signer01|and the remaining would be paid in cash|and the remaining would be paid in cash|-1|-1
66wcZHOOFbI--18|Signer01|he was welcomed by the staff|he was welcomed by the staff|-1|-1
66wcZHOOFbI--19|Signer01|he gave a speech to the employees and said|he gave a speech to the employees and said|-1|-1
66wcZHOOFbI--28|Signer01|this is shocking as it is the first time in history|this is shocking as it is the first time in history|-1|-1
inSQvqdFR1s--7|Signer01|those who have taken the recently approved 3rd dose of the covid vaccine|those who have taken the recently approved 3rd dose of the covid vaccine|-1|-1
inSQvqdFR1s--8|Signer01|will be given the omicron vaccine as the 4th dose|will be given the omicron vaccine as the 4th dose|-1|-1
inSQvqdFR1s--10|Signer01|according to the companies the omicron vaccine should be ready in march|according to the companies the omicron vaccine should be ready in march|-1|-1
fzmqzWbC8Ts--3|Signer01|many suffered many major losses because of the crash|many suffered many major losses because of the crash|-1|-1
fzmqzWbC8Ts--7|Signer01|the government was always very worried about this|the government was always very worried about this|-1|-1
fzmqzWbC8Ts--10|Signer01|now on 23rd january 2022 the russian central bank said that|now on 23rd january 2022 the russian central bank said that|-1|-1
fzmqzWbC8Ts--15|Signer01|another reason for this is that joe biden president of the usa is planning|another reason for this is that joe biden president of the usa is planning|-1|-1
fzmqzWbC8Ts--18|Signer01|now we will have to wait for further updates|now we will have to wait for further updates|-1|-1
dw7AzLOYDOI--13|Signer01|people said that she looked similar to virat|people said that she looked similar to virat|-1|-1
nYtiiQWVAnU--18|Signer01|for the chapter 2 of the movie he will be paid rs 30 crore|for the chapter 2 of the movie he will be paid rs 30 crore|-1|-1
vZt56rnH8QQ--0|Signer01|earlier the maharashtra government had shut down schools and colleges till 15 february 2022|earlier the maharashtra government had shut down schools and colleges till 15 february 2022|-1|-1
vZt56rnH8QQ--1|Signer01|because of the spike in infections due to omicron|because of the spike in infections due to omicron|-1|-1
vZt56rnH8QQ--5|Signer01|she said that cm uddhav thackeray has given his permission for this|she said that cm uddhav thackeray has given his permission for this|-1|-1
vZt56rnH8QQ--9|Signer01|currently in bengaluru schools are also shut to control the spread of infections|currently in bengaluru schools are also shut to control the spread of infections|-1|-1
vZt56rnH8QQ--10|Signer01|many schools and colleges across india are still shut|many schools and colleges across india are still shut|-1|-1
iRFiNddzW1Q--2|Signer01|she worked hard and has now made her dream true|she worked hard and has now made her dream true|-1|-1
iRFiNddzW1Q--7|Signer01|here is her story|here is her story|-1|-1
iRFiNddzW1Q--12|Signer01|but did not know how because of the lockdown when air india approached her|but did not know how because of the lockdown when air india approached her|-1|-1
iRFiNddzW1Q--15|Signer01|she participated in the mission in may 2020|she participated in the mission in may 2020|-1|-1
iRFiNddzW1Q--22|Signer01|her experience is shocking|her experience is shocking|-1|-1
meO61SEJlDY--0|Signer01|when the covid pandemic first started you know how dangerous it was|when the covid pandemic first started you know how dangerous it was|-1|-1
meO61SEJlDY--7|Signer01|and can resume their daily life|and can resume their daily life|-1|-1
meO61SEJlDY--10|Signer01|they want people to carry on with their lives & have reduced restrictions|they want people to carry on with their lives & have reduced restrictions|-1|-1
meO61SEJlDY--16|Signer01|many are making such changes|many are making such changes|-1|-1
meO61SEJlDY--20|Signer01|similarly even the indian government has imposed strict rules to control the spread of omicron|similarly even the indian government has imposed strict rules to control the spread of omicron|-1|-1
Ibo2_BWLi5I--2|Signer01|you know that he is in the uk for all this time|you know that he is in the uk for all this time|-1|-1
Ibo2_BWLi5I--5|Signer01|this case has been going for three years|this case has been going for three years|-1|-1
Ibo2_BWLi5I--6|Signer01|he was earlier arrested by the police but has been let out on bail|he was earlier arrested by the police but has been let out on bail|-1|-1
Ibo2_BWLi5I--17|Signer01|he again failed to pay the amount back|he again failed to pay the amount back|-1|-1
ZhsZgOU2dco--3|Signer01|pictures and videos of this went viral on social media|pictures and videos of this went viral on social media|-1|-1
ZhsZgOU2dco--22|Signer01|she was everyone favourite|she was everyone favourite|-1|-1
Zggui5Xbwc8--0|Signer01|hours after india test series loss against south africa|hours after india test series loss against south africa|-1|-1
Zggui5Xbwc8--6|Signer01|the next day on 15th january 2022 virat kohli posted a tweet saying|the next day on 15th january 2022 virat kohli posted a tweet saying|-1|-1
Zggui5Xbwc8--11|Signer01|kohli had first led the side in test cricket back in 2014 against australia|kohli had first led the side in test cricket back in 2014 against australia|-1|-1
Zggui5Xbwc8--20|Signer01|they say his announcement after the test series was because of this reason|they say his announcement after the test series was because of this reason|-1|-1
Zggui5Xbwc8--23|Signer01|we hope he continues playing for india|we hope he continues playing for india|-1|-1
5Y-ZSrRLSYg--8|Signer01|she trained from an early age|she trained from an early age|-1|-1
eSHsonKjjrY--0|Signer01|you all may have taken the 1st and second of the covid vaccine|you all may have taken the 1st and second of the covid vaccine|-1|-1
eSHsonKjjrY--2|Signer01|however to take the vaccine one needs to follow government & who guidelines|however to take the vaccine one needs to follow government & who guidelines|-1|-1
eSHsonKjjrY--12|Signer01|this is why he took the vaccine 11 times|this is why he took the vaccine 11 times|-1|-1
RqA2V8Hfeng--11|Signer01|this is how she made a killing so how did she think of doing this|this is how she made a killing so how did she think of doing this|-1|-1
RqA2V8Hfeng--18|Signer01|so weird right|so weird right|-1|-1
RqA2V8Hfeng--19|Signer01|she has been doing this since november 2021|she has been doing this since november 2021|-1|-1
RqA2V8Hfeng--24|Signer01|upon treatment she is better now|upon treatment she is better now|-1|-1
UuwdwtAe6c4--7|Signer01|and wanted to express her views over modi being made to wait like that|and wanted to express her views over modi being made to wait like that|-1|-1
UuwdwtAe6c4--8|Signer01|siddharth responded to her tweet|siddharth responded to her tweet|-1|-1
UuwdwtAe6c4--10|Signer01|siddharth has always spoken out against the bjp and the pm modi|siddharth has always spoken out against the bjp and the pm modi|-1|-1
UuwdwtAe6c4--15|Signer01|she was shocked by this statement let me explain its meaning|she was shocked by this statement let me explain its meaning|-1|-1
UuwdwtAe6c4--25|Signer01|it also wrote to police in maharashtra state to take action against him|it also wrote to police in maharashtra state to take action against him|-1|-1
uMbVIbgo83Q--4|Signer01|important players are playing the tournament after the first round of the matches|important players are playing the tournament after the first round of the matches|-1|-1
uMbVIbgo83Q--7|Signer01|seven players had tested positive for the coronavirus|seven players had tested positive for the coronavirus|-1|-1
8x7BaklQQzw--12|Signer01|he is just 28 years old and is a smart businessman|he is just 28 years old and is a smart businessman|-1|-1
HGUa82jvHYo--1|Signer01|the punjab government which had earlier promised her a job and cash prize|the punjab government which had earlier promised her a job and cash prize|-1|-1
HGUa82jvHYo--8|Signer01|both of them then met each other|both of them then met each other|-1|-1
9uwLxEO1p5I--6|Signer01|it was found that 7 people were dead|it was found that 7 people were dead|-1|-1
9uwLxEO1p5I--7|Signer01|however on 9 january 2022|however on 9 january 2022|-1|-1
9uwLxEO1p5I--9|Signer01|the injured were taken to local hospitals in the area|the injured were taken to local hospitals in the area|-1|-1
9uwLxEO1p5I--11|Signer01|almost 30 people have been injured|almost 30 people have been injured|-1|-1
DGuQoJOcVEA--6|Signer01|have a look at this strange video|have a look at this strange video|-1|-1
iFABwqY1f2I--4|Signer01|where he was found to be covid positive on 15 december 2021|where he was found to be covid positive on 15 december 2021|-1|-1
iFABwqY1f2I--8|Signer01|after treatment he was found to be covid negative on 21 december 2021|after treatment he was found to be covid negative on 21 december 2021|-1|-1
iFABwqY1f2I--9|Signer01|he again started suffering from fever cold and cough|he again started suffering from fever cold and cough|-1|-1
iFABwqY1f2I--11|Signer01|he died six days later on 31st december 2021 at around 3 30 am|he died six days later on 31st december 2021 at around 3 30 am|-1|-1
Vu0cn4ffv5g--3|Signer01|she often shares pictures and videos on instagram along with her family|she often shares pictures and videos on instagram along with her family|-1|-1
zjLM7xgXwkA--10|Signer01|4 the prime minister said that|4 the prime minister said that|-1|-1
zjLM7xgXwkA--15|Signer01|5 there is nothing to worry about|5 there is nothing to worry about|-1|-1
zjLM7xgXwkA--17|Signer01|to manage any crisis so there is nothing to worry about|to manage any crisis so there is nothing to worry about|-1|-1
hcqK6kAu2B4--0|Signer01|india currently has more than 200 omicron cases|india currently has more than 200 omicron cases|-1|-1
hcqK6kAu2B4--1|Signer01|the central government has warned indian states & union territories|the central government has warned indian states & union territories|-1|-1
hcqK6kAu2B4--4|Signer01|the letter advised them to be prepared for an omicron outbreak|the letter advised them to be prepared for an omicron outbreak|-1|-1
Rfe-jgg6JCM--8|Signer01|this is so dangerous|this is so dangerous|-1|-1
Rfe-jgg6JCM--20|Signer01|which have now reduced a lot|which have now reduced a lot|-1|-1
Rfe-jgg6JCM--21|Signer01|people thought that the monkey would now calm down|people thought that the monkey would now calm down|-1|-1
Rfe-jgg6JCM--23|Signer01|a similar incident was reported from karnataka in september 2021|a similar incident was reported from karnataka in september 2021|-1|-1
Rfe-jgg6JCM--28|Signer01|however the monkey returned back|however the monkey returned back|-1|-1
s5DD_MtbqK8--8|Signer01|the mob then beat him up till he died|the mob then beat him up till he died|-1|-1
s5DD_MtbqK8--9|Signer01|after all this the police arrived at the scene|after all this the police arrived at the scene|-1|-1
s5DD_MtbqK8--13|Signer01|when the police arrived even they were not allowed to enter|when the police arrived even they were not allowed to enter|-1|-1
s5DD_MtbqK8--15|Signer01|police are investigating this case|police are investigating this case|-1|-1
Dt1YwYrUvjk--0|Signer01|according to reports new zealand has a population of 5 million|according to reports new zealand has a population of 5 million|-1|-1
Dt1YwYrUvjk--6|Signer01|entry into public places and travel is only allowed for people who are fully vaccinated|entry into public places and travel is only allowed for people who are fully vaccinated|-1|-1
Dt1YwYrUvjk--9|Signer01|this is why the man got vaccinated 10 times|this is why the man got vaccinated 10 times|-1|-1
Dt1YwYrUvjk--11|Signer01|this is why he took each vaccine from a different vaccination centre|this is why he took each vaccine from a different vaccination centre|-1|-1
Dt1YwYrUvjk--29|Signer01|after this incident came to light the health ministry in new zealand|after this incident came to light the health ministry in new zealand|-1|-1
IbVyjcmIV60--8|Signer01|the procedure went on for 3 hours|the procedure went on for 3 hours|-1|-1
IbVyjcmIV60--11|Signer01|according to doctors kidney stones have become very common|according to doctors kidney stones have become very common|-1|-1
IbVyjcmIV60--12|Signer01|it is important to drink a lot of water|it is important to drink a lot of water|-1|-1
IbVyjcmIV60--14|Signer01|it can be because of not drinking enough water|it can be because of not drinking enough water|-1|-1
IbVyjcmIV60--18|Signer01|you can watch our video about how much water to drink on this link|you can watch our video about how much water to drink on this link|-1|-1
jCZW5Ncm1C8--8|Signer01|earlier women would get married at 18 and many would get pregnant immediately|earlier women would get married at 18 and many would get pregnant immediately|-1|-1
jCZW5Ncm1C8--12|Signer01|this should change and the age should be 21 for both|this should change and the age should be 21 for both|-1|-1
jCZW5Ncm1C8--14|Signer01|the team proposal was approved by the union cabinet on 15th december 2021|the team proposal was approved by the union cabinet on 15th december 2021|-1|-1
jCZW5Ncm1C8--15|Signer01|the same will be proposed in the lok sabha & rajya sabha|the same will be proposed in the lok sabha & rajya sabha|-1|-1
jCZW5Ncm1C8--18|Signer01|special marriage act and the hindu marriage act to bring the plan into action|special marriage act and the hindu marriage act to bring the plan into action|-1|-1
3HS28IDkfL8--3|Signer01|the certificate also includes his private details like name aadhar card number etc|the certificate also includes his private details like name aadhar card number etc|-1|-1
3HS28IDkfL8--5|Signer01|and filed a complaint|and filed a complaint|-1|-1
3HS28IDkfL8--11|Signer01|they do not put their image on vaccine certificates then why is india doing this|they do not put their image on vaccine certificates then why is india doing this|-1|-1
3HS28IDkfL8--16|Signer01|then why have you complained what your problem|then why have you complained what your problem|-1|-1
sU64SqZD-24--6|Signer01|4 bodies have been identified|4 bodies have been identified|-1|-1
sU64SqZD-24--12|Signer01|the bodies were kept side by side|the bodies were kept side by side|-1|-1
sU64SqZD-24--20|Signer01|this has been recovered|this has been recovered|-1|-1
97W_atGIDAE--13|Signer01|a video of this incident went viral on social media have a look|a video of this incident went viral on social media have a look|-1|-1
97W_atGIDAE--14|Signer01|did you see the video strange it could happen in real life|did you see the video strange it could happen in real life|-1|-1
97W_atGIDAE--16|Signer01|the family called the police and the boy was arrested|the family called the police and the boy was arrested|-1|-1
97W_atGIDAE--17|Signer01|the bride was finally married to the groom|the bride was finally married to the groom|-1|-1
97W_atGIDAE--26|Signer01|the boy family then called the police and she was taken away|the boy family then called the police and she was taken away|-1|-1
E3Fdzhh5kEw--5|Signer01|after the shocking crash it was revealed that 13 people had died|after the shocking crash it was revealed that 13 people had died|-1|-1
E3Fdzhh5kEw--13|Signer01|the air force is shocked over the crash and have launched a probe into it|the air force is shocked over the crash and have launched a probe into it|-1|-1
E3Fdzhh5kEw--18|Signer01|even his wife has died the couple are survived by their two daughter|even his wife has died the couple are survived by their two daughter|-1|-1
E3Fdzhh5kEw--19|Signer01|i am feeling very bad over the deaths of the other officers as well|i am feeling very bad over the deaths of the other officers as well|-1|-1
E3Fdzhh5kEw--32|Signer01|he is survived by 2 daughters|he is survived by 2 daughters|-1|-1
jN2lbHzIneI--9|Signer01|since they cannot do this anymore the case was filed|since they cannot do this anymore the case was filed|-1|-1
jN2lbHzIneI--10|Signer01|however it is not known how the couple has responded to the complaint|however it is not known how the couple has responded to the complaint|-1|-1
jN2lbHzIneI--14|Signer01|no media person was allowed to attend & there were strict rules|no media person was allowed to attend & there were strict rules|-1|-1
jN2lbHzIneI--17|Signer01|to amazon prime video for rs 80 crore|to amazon prime video for rs 80 crore|-1|-1
3iSdGVH-2A4--5|Signer01|you may think he is an indian player but he actually plays for new zealand|you may think he is an indian player but he actually plays for new zealand|-1|-1
3iSdGVH-2A4--9|Signer01|i am sure you want to know more about his life|i am sure you want to know more about his life|-1|-1
3iSdGVH-2A4--12|Signer01|patel family is from gujarat|patel family is from gujarat|-1|-1
3iSdGVH-2A4--14|Signer01|the bcci tweeted an image on 6 december 2021|the bcci tweeted an image on 6 december 2021|-1|-1
sFcUjqpV8I8--2|Signer01|this is because he was holding a glass & bottle of alcohol|this is because he was holding a glass & bottle of alcohol|-1|-1
sFcUjqpV8I8--4|Signer01|25 000 people have died of covid in delhi|25 000 people have died of covid in delhi|-1|-1
sFcUjqpV8I8--9|Signer01|and protect the health of citizens this is why the taxes are always high|and protect the health of citizens this is why the taxes are always high|-1|-1
sFcUjqpV8I8--15|Signer01|however now shops are being set up everywhere and even in villages|however now shops are being set up everywhere and even in villages|-1|-1
sFcUjqpV8I8--17|Signer01|the age limit to enter bars is reduced from 25 to 21|the age limit to enter bars is reduced from 25 to 21|-1|-1
PTt3KvVGHkg--12|Signer01|they have decided not to travel by road to the hotel|they have decided not to travel by road to the hotel|-1|-1
PTt3KvVGHkg--21|Signer01|2 no sharing pictures of the wedding on social media|2 no sharing pictures of the wedding on social media|-1|-1
PTt3KvVGHkg--22|Signer01|3 guests are not allowed to share location on social media|3 guests are not allowed to share location on social media|-1|-1
lMcnpTegC44--1|Signer01|maharashtra kerala delhi karnataka rajasthan & gujarat a total of 21 cases have been reported|maharashtra kerala delhi karnataka rajasthan & gujarat a total of 21 cases have been reported|-1|-1
lMcnpTegC44--3|Signer01|top experts has warned that india should be prepared to fight a possible third wave|top experts has warned that india should be prepared to fight a possible third wave|-1|-1
lMcnpTegC44--11|Signer01|had tested positive for the omicron variant|had tested positive for the omicron variant|-1|-1
lMcnpTegC44--15|Signer01|and then escaped to dubai there have been many incidents like this|and then escaped to dubai there have been many incidents like this|-1|-1
lMcnpTegC44--16|Signer01|10 passengers were being tested at the airport|10 passengers were being tested at the airport|-1|-1
WCiJ2s6rJNc--0|Signer01|mukesh ambani chairman of reliance industries is india richest man|mukesh ambani chairman of reliance industries is india richest man|-1|-1
WCiJ2s6rJNc--5|Signer01|but that is not the case for the ambani family|but that is not the case for the ambani family|-1|-1
WCiJ2s6rJNc--34|Signer01|the cups are expensive as each cup has a gold border|the cups are expensive as each cup has a gold border|-1|-1
WCiJ2s6rJNc--46|Signer01|you can buy a house in that money let me tell you about it|you can buy a house in that money let me tell you about it|-1|-1
WCiJ2s6rJNc--53|Signer01|each bottle costs rs 40 lakh|each bottle costs rs 40 lakh|-1|-1
2o6pOgal_Zg--0|Signer01|in july 2020 many people were affected by covid|in july 2020 many people were affected by covid|-1|-1
2o6pOgal_Zg--8|Signer01|however the bodies of these two patients were not handed to the families|however the bodies of these two patients were not handed to the families|-1|-1
2o6pOgal_Zg--10|Signer01|a year later the hospital contacted the families and gave them a huge shock|a year later the hospital contacted the families and gave them a huge shock|-1|-1
2o6pOgal_Zg--13|Signer01|then the hospital informed the families|then the hospital informed the families|-1|-1
WH_oarupge8--6|Signer01|however this is not confirmed|however this is not confirmed|-1|-1
WH_oarupge8--7|Signer01|mamata had attended a press conference in mumbai|mamata had attended a press conference in mumbai|-1|-1
WH_oarupge8--14|Signer01|according to people as a chief minister mamata should have been aware about such rules|according to people as a chief minister mamata should have been aware about such rules|-1|-1
WH_oarupge8--15|Signer01|people were angry over her actions and have demanded strict action against her|people were angry over her actions and have demanded strict action against her|-1|-1
WH_oarupge8--16|Signer01|however mamata has not responded to any of this|however mamata has not responded to any of this|-1|-1
OwnXlbWX9AE--0|Signer01|these are the high risk countries where the new covid-19 variant omicron has spread|these are the high risk countries where the new covid-19 variant omicron has spread|-1|-1
OwnXlbWX9AE--3|Signer01|1 maharashtra fully vaccinated persons are allowed to take domestic flights|1 maharashtra fully vaccinated persons are allowed to take domestic flights|-1|-1
OwnXlbWX9AE--13|Signer01|those who are fully vaccinated & travelling from foreign countries|those who are fully vaccinated & travelling from foreign countries|-1|-1
OwnXlbWX9AE--15|Signer01|3 uttar pradesh chief medical officers have been ordered by the state government|3 uttar pradesh chief medical officers have been ordered by the state government|-1|-1
OwnXlbWX9AE--18|Signer01|only those who are negative will be allowed to leave the airport|only those who are negative will be allowed to leave the airport|-1|-1
PSFcuzVjVWs--4|Signer01|something similar happened for actor salman khan|something similar happened for actor salman khan|-1|-1
PSFcuzVjVWs--7|Signer01|however they also did something very dangerous|however they also did something very dangerous|-1|-1
PSFcuzVjVWs--11|Signer01|it is not known where the incident took place|it is not known where the incident took place|-1|-1
PSFcuzVjVWs--13|Signer01|salman khan saw the same video you just saw|salman khan saw the same video you just saw|-1|-1
PSFcuzVjVWs--14|Signer01|he then posted the video on his instagram account here what the caption said|he then posted the video on his instagram account here what the caption said|-1|-1
DyudXQLV2ro--4|Signer01|however they will first have a court marriage in mumbai|however they will first have a court marriage in mumbai|-1|-1
DyudXQLV2ro--16|Signer01|this is his gift how surprising|this is his gift how surprising|-1|-1
P0u31Q68-RM--4|Signer01|they were constantly fighting against the central government|they were constantly fighting against the central government|-1|-1
P0u31Q68-RM--11|Signer01|he also took part in the protest against the laws|he also took part in the protest against the laws|-1|-1
P0u31Q68-RM--20|Signer01|when farmers started protesting against the laws he also took part|when farmers started protesting against the laws he also took part|-1|-1
P0u31Q68-RM--21|Signer01|according to him this was like the 4th war which was against the central government|according to him this was like the 4th war which was against the central government|-1|-1
P0u31Q68-RM--27|Signer01|as elections in punjab & uttar pradesh are drawing near|as elections in punjab & uttar pradesh are drawing near|-1|-1
75URg_b6HYk--13|Signer01|this has left the police confused|this has left the police confused|-1|-1
fmHcqQNPyn0--4|Signer01|let me tell you their beautiful story|let me tell you their beautiful story|-1|-1
fmHcqQNPyn0--14|Signer01|and they decided to get married|and they decided to get married|-1|-1
fmHcqQNPyn0--21|Signer01|the marriage was held on 21 november 2021|the marriage was held on 21 november 2021|-1|-1
LXXIa4Pf-2w--4|Signer01|the girl who could not speak somehow managed to tell her parents what happened|the girl who could not speak somehow managed to tell her parents what happened|-1|-1
LXXIa4Pf-2w--8|Signer01|police will continue investigating|police will continue investigating|-1|-1
oSzjD-5aBig--8|Signer01|did you see the video was not that amazing|did you see the video was not that amazing|-1|-1
usILpoQtVwQ--0|Signer01|in a shocking development prices of tomatoes have hit the roof across the country|in a shocking development prices of tomatoes have hit the roof across the country|-1|-1
usILpoQtVwQ--6|Signer01|heavy rains damaged tomato crops due to which the prices have increased|heavy rains damaged tomato crops due to which the prices have increased|-1|-1
usILpoQtVwQ--11|Signer01|prices of other vegetables like lady finger will also increase|prices of other vegetables like lady finger will also increase|-1|-1
Kgiam7v7Kyg--0|Signer01|a few days back in the south indian states of andhra pradesh & tamil nadu|a few days back in the south indian states of andhra pradesh & tamil nadu|-1|-1
Kgiam7v7Kyg--1|Signer01|there has been heavy rainfall|there has been heavy rainfall|-1|-1
Kgiam7v7Kyg--6|Signer01|because of the rains many people have gone missing as well|because of the rains many people have gone missing as well|-1|-1
Kgiam7v7Kyg--11|Signer01|nearly 24 lakh people were affected by the floods|nearly 24 lakh people were affected by the floods|-1|-1
akEZ641HlaU--1|Signer01|however in march 2020 the supreme court lifted the ban|however in march 2020 the supreme court lifted the ban|-1|-1
akEZ641HlaU--13|Signer01|but no announcement has been made yet|but no announcement has been made yet|-1|-1
5kymd5UTvAc--0|Signer01|in jammu kashmir pulwama on 14 february 2019 40 soldiers lost their lives|in jammu kashmir pulwama on 14 february 2019 40 soldiers lost their lives|-1|-1
wldukQG0aLg--5|Signer01|now people are shocked over a particular news|now people are shocked over a particular news|-1|-1
EVowQkvmuu4--7|Signer01|since march 2020 we have recorded 8 000 new covid-19 cases in a single day|since march 2020 we have recorded 8 000 new covid-19 cases in a single day|-1|-1
EVowQkvmuu4--8|Signer01|earlier the number of infections were also above 8 000|earlier the number of infections were also above 8 000|-1|-1
EVowQkvmuu4--9|Signer01|this is because of vaccination|this is because of vaccination|-1|-1
EVowQkvmuu4--12|Signer01|of all the covid infections in india 50% are from kerala|of all the covid infections in india 50% are from kerala|-1|-1
ju2bbQo3eE0--0|Signer01|after we are born we go to school college then we start working|after we are born we go to school college then we start working|-1|-1
ju2bbQo3eE0--1|Signer01|school & college days are one of the best days of our life|school & college days are one of the best days of our life|-1|-1
ju2bbQo3eE0--3|Signer01|we keep talking about this|we keep talking about this|-1|-1
ju2bbQo3eE0--5|Signer01|let me tell you there are 7 points|let me tell you there are 7 points|-1|-1
ju2bbQo3eE0--15|Signer01|3 nowadays dating someone is common among girls and boys around the world|3 nowadays dating someone is common among girls and boys around the world|-1|-1
2ozWx_i7wZU--9|Signer01|an fir has been registered and they will receive strict punishment|an fir has been registered and they will receive strict punishment|-1|-1
2ozWx_i7wZU--11|Signer01|politicians journalists or people invited by the government are allowed to enter|politicians journalists or people invited by the government are allowed to enter|-1|-1
5QMD024bDYs--2|Signer01|there have been multiple meetings protests and people have been angry since november 2020|there have been multiple meetings protests and people have been angry since november 2020|-1|-1
5QMD024bDYs--12|Signer01|today prime minister narendra modi made a surprise announcement saying|today prime minister narendra modi made a surprise announcement saying|-1|-1
5QMD024bDYs--13|Signer01|“the government created the laws as we felt that farmers would benefit a lot|“the government created the laws as we felt that farmers would benefit a lot|-1|-1
5QMD024bDYs--23|Signer01|this is why the farmers want to wait till an official decision is made|this is why the farmers want to wait till an official decision is made|-1|-1
9X9BXb0iHnY--7|Signer01|and they announced some strict rules|and they announced some strict rules|-1|-1
9X9BXb0iHnY--8|Signer01|across delhi schools & colleges will be shut till further notice|across delhi schools & colleges will be shut till further notice|-1|-1
CnwbK7D_HOM--2|Signer01|in 2015 the project was proposed and later it was approved by the government|in 2015 the project was proposed and later it was approved by the government|-1|-1
CnwbK7D_HOM--3|Signer01|then in 2018 pm narendra modi laid the foundation stone of the project|then in 2018 pm narendra modi laid the foundation stone of the project|-1|-1
CnwbK7D_HOM--8|Signer01|now the time has been reduced to three and a half hour|now the time has been reduced to three and a half hour|-1|-1
68HERgP4Af0--5|Signer01|the news went viral later pandya tweeted and said|the news went viral later pandya tweeted and said|-1|-1
68HERgP4Af0--9|Signer01|when the officials asked for the bill i showed it to them|when the officials asked for the bill i showed it to them|-1|-1
JUWMIZsl7_U--9|Signer01|this is so inspiring|this is so inspiring|-1|-1
JUWMIZsl7_U--15|Signer01|earlier there was no focus on the deaf|earlier there was no focus on the deaf|-1|-1
JUWMIZsl7_U--19|Signer01|let me tell you something about her life|let me tell you something about her life|-1|-1
JUWMIZsl7_U--21|Signer01|she was born deaf to hearing parents|she was born deaf to hearing parents|-1|-1
JUWMIZsl7_U--27|Signer01|she has acted in plays|she has acted in plays|-1|-1
VEe7fj1ikGQ--5|Signer01|australia has won the t20 world cup for the 1st time|australia has won the t20 world cup for the 1st time|-1|-1
VEe7fj1ikGQ--8|Signer01|this is the first time australia won the t20 world cup|this is the first time australia won the t20 world cup|-1|-1
VEe7fj1ikGQ--12|Signer01|a video recently went viral|a video recently went viral|-1|-1
VEe7fj1ikGQ--17|Signer01|do you think this is strange|do you think this is strange|-1|-1
VEe7fj1ikGQ--20|Signer01|this has been done in the past as well|this has been done in the past as well|-1|-1
kYAuCjtBVgw--0|Signer01|a shocking incident occurred at a hospital in pakistan|a shocking incident occurred at a hospital in pakistan|-1|-1
kYAuCjtBVgw--3|Signer01|a woman had given birth to a baby the mother was asleep|a woman had given birth to a baby the mother was asleep|-1|-1
kYAuCjtBVgw--8|Signer01|video of the incident went viral|video of the incident went viral|-1|-1
kYAuCjtBVgw--13|Signer01|this is not the first time such an incident has occured|this is not the first time such an incident has occured|-1|-1
kYAuCjtBVgw--18|Signer01|however the woman never returned with the child|however the woman never returned with the child|-1|-1
rB05By5oMcY--21|Signer01|and knows all about assam culture he is wrong to do all this|and knows all about assam culture he is wrong to do all this|-1|-1
ValSqREqMSM--0|Signer01|in maharashtra thane the thane municipal corporation tmc has decided|in maharashtra thane the thane municipal corporation tmc has decided|-1|-1
ValSqREqMSM--4|Signer01|it is necessary for the staff to get vaccinated|it is necessary for the staff to get vaccinated|-1|-1
ValSqREqMSM--13|Signer01|those who are not vaccinated will not be allowed to enter|those who are not vaccinated will not be allowed to enter|-1|-1
ValSqREqMSM--14|Signer01|they will immediately have to get vaccinated and then allowed in|they will immediately have to get vaccinated and then allowed in|-1|-1
RzL5RaYepuE--0|Signer01|mukesh ambani is the chairman of the famous reliance industries|mukesh ambani is the chairman of the famous reliance industries|-1|-1
RzL5RaYepuE--4|Signer01|after this happened the police were informed and the security was increased around his house|after this happened the police were informed and the security was increased around his house|-1|-1
RzL5RaYepuE--7|Signer01|they both had large bags with them|they both had large bags with them|-1|-1
RzL5RaYepuE--8|Signer01|the driver grew suspicious and informed the police|the driver grew suspicious and informed the police|-1|-1
CRaeoTu1flY--0|Signer01|on 24th october india lost the t20 world cup match against pakistan in dubai|on 24th october india lost the t20 world cup match against pakistan in dubai|-1|-1
CRaeoTu1flY--4|Signer01|and told people not to attack his brother|and told people not to attack his brother|-1|-1
